Date,Log Return,sales growth,ROCE,EV-to-Sales,E/P Ratio
2017-02-28,0.010041083591093918,3.457722632133514,-2.939873100173299,1.6674237616327536,-6.709468809496173
2017-03-31,0.0391854826013165,3.546099712760559,-1.748621512750918,1.9332445638045053,-5.877639639231476
2017-04-28,0.02926777666982558,3.546099712760559,-1.748621512750918,1.9332445638045053,-5.877639639231476
2017-05-31,0.06898417601113971,3.546099712760559,-1.748621512750918,1.9332445638045053,-5.877639639231476
2017-06-30,-0.08748537201429026,3.475478910182671,-3.359523377096054,1.8859781444670367,-6.8892368977863665
2017-07-31,0.19544259885974385,3.475478910182671,-3.359523377096054,1.8859781444670367,-6.8892368977863665
2017-08-31,-0.03900933331821781,3.475478910182671,-3.359523377096054,1.8859781444670367,-6.8892368977863665
2017-09-29,0.03730140446992137,3.475478910182671,-3.359523377096054,1.8859781444670367,-6.8892368977863665
2017-10-31,0.07987719707461256,3.475478910182671,-3.359523377096054,1.8859781444670367,-6.8892368977863665
2017-11-30,-0.0461006656172711,3.475478910182671,-3.359523377096054,1.8859781444670367,-6.8892368977863665
2017-12-29,0.023081621123136376,3.475478910182671,-3.359523377096054,1.8859781444670367,-6.8892368977863665
2018-01-31,0.3422453561559641,3.475478910182671,-3.359523377096054,1.8859781444670367,-6.8892368977863665
2018-02-28,0.07509586586203838,3.475478910182671,-3.359523377096054,1.8859781444670367,-6.8892368977863665
2018-03-29,0.013532840435217814,3.475478910182671,-3.359523377096054,1.8859781444670367,-6.8892368977863665
2018-04-30,0.0563153192178969,3.475478910182671,-3.359523377096054,1.8859781444670367,-6.8892368977863665
2018-05-31,0.11801774953377508,3.475478910182671,-3.359523377096054,1.8859781444670367,-6.8892368977863665
2018-06-29,0.10731249807345833,3.475478910182671,-3.359523377096054,1.8859781444670367,-6.8892368977863665
2018-07-31,-0.14838929387998406,3.475478910182671,-3.359523377096054,1.8859781444670367,-6.8892368977863665
2018-08-31,0.08579558737654508,3.475478910182671,-3.359523377096054,1.8859781444670367,-6.8892368977863665
2018-09-28,0.017390368911576765,3.475478910182671,-3.359523377096054,1.8859781444670367,-6.8892368977863665
2018-10-31,-0.21490507261138203,3.475478910182671,-3.359523377096054,1.8859781444670367,-6.8892368977863665
2018-11-30,-0.05325200097557427,3.475478910182671,-3.359523377096054,1.8859781444670367,-6.8892368977863665
2018-12-31,-0.0667287380147478,3.3114185424153693,-3.2982889083956013,2.0559809823001114,-6.770207555543484
2019-01-31,0.23775641494857763,3.3114185424153693,-3.2982889083956013,2.0559809823001114,-6.770207555543484
2019-02-28,0.053338347049801435,3.3114185424153693,-3.2982889083956013,2.0559809823001114,-6.770207555543484
2019-03-29,-0.004309772257363866,3.3114185424153693,-3.2982889083956013,2.0559809823001114,-6.770207555543484
2019-04-30,0.038458902391405335,3.3114185424153693,-3.2982889083956013,2.0559809823001114,-6.770207555543484
2019-05-31,-0.0764149870553228,3.3114185424153693,-3.2982889083956013,2.0559809823001114,-6.770207555543484
2019-06-28,0.06768698555766357,3.3114185424153693,-3.2982889083956013,2.0559809823001114,-6.770207555543484
2019-07-31,-0.12861208992893267,3.3114185424153693,-3.2982889083956013,2.0559809823001114,-6.770207555543484
2019-08-30,-0.09489226729763314,3.3114185424153693,-3.2982889083956013,2.0559809823001114,-6.770207555543484
2019-09-30,-0.09316101982684602,3.438592711868508,-3.2982889083956013,1.9014804641628438,-5.171256030613397
2019-10-31,0.07134173486104416,3.438592711868508,-3.2982889083956013,1.9014804641628438,-5.171256030613397
2019-11-29,0.0905829219580163,3.438592711868508,-3.2982889083956013,1.9014804641628438,-5.171256030613397
2019-12-31,0.02792279402610856,3.420545657390279,-0.883659541714262,2.0291214577798202,-5.487234227813788
2020-01-31,0.06438974548729538,3.420545657390279,-0.883659541714262,2.0291214577798202,-5.487234227813788
2020-02-28,0.0670726962769466,3.420545657390279,-0.883659541714262,2.0291214577798202,-5.487234227813788
2020-03-31,0.01738053296325583,3.3169385765047705,-0.05146033094056397,2.108369076753016,-5.448367330820519
2020-04-30,0.11163904796275471,3.3169385765047705,-0.05146033094056397,2.108369076753016,-5.448367330820519
2020-05-29,-0.0002858455788894909,3.3169385765047705,-0.05146033094056397,2.108369076753016,-5.448367330820519
2020-06-30,0.0807736723651638,3.2143094146689215,-1.5814695947248112,2.233770776993686,-5.627191182759605
2020-07-31,0.0717317246211942,3.2143094146689215,-1.5814695947248112,2.233770776993686,-5.627191182759605
2020-08-31,0.07992939788478927,3.2143094146689215,-1.5814695947248112,2.233770776993686,-5.627191182759605
2020-09-30,-0.05737837427819788,3.122479455373379,-1.7734374485343736,2.27044405966163,-5.6317454245102905
2020-10-30,-0.049796628195872855,3.122479455373379,-1.7734374485343736,2.27044405966163,-5.6317454245102905
2020-11-30,0.030961501987496875,3.122479455373379,-1.7734374485343736,2.27044405966163,-5.6317454245102905
2020-12-31,0.09708707438834695,3.0693358327986227,-2.2123370756621896,2.301914868443741,-6.0882122873692035
